"id","title","year","link","summary","image","type","sketch","details_fullDescription","details_images","details_fullDescription2","details_images2","category","tags","text"
"synthnopsis","Synthnopsis","2025","","Pieza octafónica para electrónica en vivo.","rider.jpg","","","<p>Octofonía donde la voz se desdobla, transfiere y reconfigura a través de mecanismos de aprendizaje de máquinas. Ocho canales tejen una polifonía en la que el timbre humano se funde con la síntesis, el texto se torna canto y el código devuelve otra corporalidad sonora.</p>","synth1.jpg;synth2.jpg;synth3.jpg","<p>La pieza es una exploración de audio muticanal con espacialización que toma como referencia el cómputo ternario para el movimiento de las 3 capas de voces</p>","rider.jpg","performance","IA;performance;neural voice synthesis",""
"error-de-sintaxis","Error de Sintaxis","2025","","Pieza acusmática con voz sintética","insonora-error03.jpg","","","<p>Error de sintaxis deconstruye el lenguaje mediante síntesis vocal y procesamiento algorítmico. Voces artificiales, distorsionadas, se descomponen y recombinan. Lo poético reconocible  muta en escritura transformada a datos estocásticos antes de disolverse en texturas granulares. El entorno sonoro muta, la comunicación se vuelve abstracción y fragilidad.</p>","insonora-error01.jpg;insonora-error02.jpg;insonora-error03.jpg;insonora-error04.jpg","<p>Pieza comisionada por los 20 años de INSONORA</p>","","music","IA",""
"hydra","Hydra Sketches","2021","https://hydra.ojack.xyz/?sketch_id=marianne_1","Hydra synth sketches contribution","f2f-web.png","hydra-sketch","src(o0).saturate(1.01).scale(.999).color(1.01,1.01,1.01).hue(.01).modulateHue(src(o1).hue(.3).posterize(-1).contrast(.7),2).layer(src(o1).luma().mult(gradient(1).saturate(.9))).out(o0)

noise(1, .2).rotate(2,.5).layer(src(o0).scrollX(.2)).out(o1)

render(o0)","A collection of sketches made with Hydra.","","","","video","live coding;hydra;visuals",""
"ram","R.A.M. [Redes Autónomas de Memoria]","","https://ramlab.cc/","Laboratoria de transchackfeminista de prácticas artísticas con tecnologías","ram.png","","","R.A.M. Surge de la necesidad de socializar tecnologías como la IA para dotarlas de un discurso crítico por medio de procesos sociales ciberfeministas para armar defensas y autodefensas que confronten las violencias de género.","","R.A.M. es una inteligencia artificial colectiva y feminista que escucha y enuncia discursos disrruptivos para el cuidado colectivo frente a la violencia de género. La tecnología son nuestras cuerpas. Pensamos con ellas y a través de ellas. Desde los procesos que nos atraviesan e interpelan. No podemos dejar de lado la violencia sistémica que pretende paralizarnos ante el miedo. Nuestras cuerpas como infraestructura responden y se organizan en una inteligencia colectiva capaz de agenciarse en el software como una prótesis para nuestras defensas colectivas transhackfeministas.","","colectivos","IA",""
"piranhalab","Piranha Lab","","https://piranhalab.github.io/index.html","Laboratorio interdisciplinario que trabaja en las tripas del software.","conversatorio.jpg","","","El laboratorio tiene como objetivo impulsar la práctica, el desarrollo, la investigación y la difusión de software orientado a la creación audiovisual. Enfoca su actividad en la comunidad que practica la Programación al Vuelo o Live Coding en México y Latinoamérica.","","","","colectivos","",""
"notasdeausencia","Notas de Ausencia","2020","https://github.com/MarianneTeixido/notasdeausencia","Ensayo generativo en la web para resemantizar la narrativa sobre las desapariciones de mujeres en México","notas01.png","","","","","","","intalacion","","Notas de ausencia es un ensayo generativo en la web. Utiliza el texto dato que por medio de la computadora como agente resignificante, deconstruye estructuras discursivas para resemantizar la narrativa sobre las desapariciones de mujeres en México y América Latina."
"unkownauthor","Unknown Author","2019","","Visualización y sonificación de datos con meta-imágenes cartográficas","unknown01.png","","","Este proyecto audiovisual es un ejercicio de desplazamiento de idea de la producción autoral, originalidad. El proyecto propone mirar críticamente las similitudes de las imágenes pobres que circulan diariamente en internet.La propuesta parte del cuestionamiento sobre la apropiación, plagio y creatividad desde la observación participante de las imágenes artística en la red. El performance un dispositivo de navegación para navegar en la información contenida en una base de datos obtenida de la actividad capturada con scripts de python y procesada algorítmicamente con técnicas de la programación al vuelo. Es un ejercicios dialéctico que busca el diálogo entre la interfaz, el usuario como meta-interfaz, la información y las narrativas interactivas.","","¿Cuál es la relevancia de la técnica, el discurso y la estética cuando hay millones de imágenes similares?, ¿a dónde nos lleva la aceleración tecnológica de las interfaces en el arte?, ¿es posible defender la idea de autoría cuando probablemente la obra es imitada, copiada o robada de otras más proveniente de lo grandes nodos de influencia? ¿lo técnico determina lo estético y las herramientas enmarcan el discurso y evidencian condiciones de producción?","","performance","",""
"fragmentos","Fragmentos","2017","","Video ensayo","fragmentos.png","","","Video ensayo sobre las nuevas fracturas sísmicas en la Ciudad de México, específicamente en la delegación Benito Juárez, tras el sismo del 19 de septiembre de 2017 provocadas por las excavaciones profundas para la construcción de inmuebles, muchos de ellos, sin permisos de construcción o producto de la corrupción además de la extracción de agua del subsuelo. Estas actividades son causantes de la vulnerabilidad física del suelo y son parte de los factores que influyeron en el derrumbe de inmuebles en la zona. ","","","","intalacion","",""
"corpografias","Corpografías de la Violencia","2021","https://www.youtube.com/watch?v=LkZvv30bU4g&t=2849s","Performance audiovisual","corpografias.png","","","","corpografias02.png","","","video","",""
"distancias","Distancias","2020","https://www.youtube.com/watch?v=q3Eq7Q0PJhM&t=2994s","","distancias.png","","","","","","","video","",""
"pixelscape","Pixelscape","2020","","","pixelscape.png","","","","","","","video","",""
"hipnosinesteria","Hipnosinesteria","2021","","","hipnosinesteria.png","","","","","","","video","",""
"compilados","Música y compilados","","","","","","","","","","","video","",""
"compilamesta-aural","Aural","","","","","","","","","","","video","","Compilado Híbirdas y Quimeras, Compilame´sta"
"balc-ep","#003 Balc","","","","","","","","","","","música","","Single"
"trapp","tr.app","","","","","","","","","","","music","","Single"
"dataset","Dataset - Mutek 2","","","","","","","","","","","music","","Single"
"feminoiselitoral","Feminoise Litoral","","","","","","","","","","","music","","Single"
"minimalresorces","minimal resources","","","","","","","","","","","music","","EP"
"caninacan","can-in-a-can","","","","","","","","","","","music","","EP"
"rggtrn","RGGTRN","","","","","","","","","","","colectivos","","EP"
"deepstructures","deep structures","","","","","","","","","","","performance audiovisual","","EP"
"ccrma-audiovisual","Audio-Visual Sessions CCRMA","","","","","","","","","","","performance audiovisual","performance;audiovisual;live coding;residencia","EP"
"algorave-ram","Algorave RAM","","","","","","","","","","","performance audiovisual","performance;audiovisual;live coding","Gestión de un espacio de encuentro para la práctica de live coding"
"xicalcoliuhqui","Xicalcoliuhqui","","","","","","","","","","","performance audiovisual","performance;audiovisual;live coding",""
"pumpumyackkan","Symbolic Machines, Pumpumyackkan","","","","","","","","","","","performance audiovisual","performance;audiovisual;live coding",""
"pumpumyackkan","Symbolic Machines, Pumpumyackkan","","","","","","","","","","","performance audiovisual","performance;audiovisual;live coding",""
